character,dialog,episode_num
Katara,"Water. Earth. Fire. Air. My grandmother used to tell me stories about the old days: a time of peace when the Avatar kept balance between the Water Tribes, Earth Kingdom, Fire Nation and Air Nomads. But that all changed when the Fire Nation attacked. Only the Avatar mastered all four elements; only he could stop the ruthless firebenders. But when the world needed him most, he vanished. A hundred years have passed, and the Fire Nation is nearing victory in the war. Two years ago, my father and the men of my tribe journeyed to the Earth Kingdom to help fight against the Fire Nation, leaving me and my brother to look after our tribe. Some people believe that the Avatar was never reborn into the Air Nomads and that the cycle is broken, but I haven't lost hope. I still believe that, somehow, the Avatar will return to save the world.",1
Sokka,"It's not getting away from me this time.  Watch and learn, Katara.  This  is how you catch a fish.",1
Katara," Sokka, look!",1
Sokka, Mmmm ... I can already smell it cookin'.,1
Katara," But, Sokka! I caught one!",1
Katara, Hey!,1
Sokka,"Why is it that every time  you  play with magic water,  I  get soaked?",1
Katara," It's not ""magic"", it's waterbending! And it's ...",1
Sokka," that if I had weird powers, I'd keep my weirdness to myself.",1
Katara, You're calling  me  weird? I'm not the one who makes muscles at myself every time I see my reflection in the water!,1
Katara,Watch out! Go left! Go left!,1
Katara, You call that  left?,1
Sokka,"You don't like my steering? Well, maybe you should've   waterbended  us out of the ice.",1
Katara, So it's my fault?,1
Sokka, Leave it to a girl to screw things up!,1
Katara,"You are the most sexist,  to be related to you!",1
Katara,"Ever since mom died,   I've  been doing all the work around camp while  you've  been off playing soldier!",1
Sokka, Uh ... Katara ...,1
Katara," I even wash all the clothes! Have you ever smelled your dirty socks? Let me tell you,  not pleasant!",1
Sokka," Katara, settle down!",1
Katara,"No that's it! I'm  done  helping you! From now on, you're  on your own!",1
Sokka,"Okay, you've gone from ""weird"" to ""freakish"",  Katara.",1
Katara, You mean  I  did that?,1
Sokka, Congratulations.,1
Katara,He's alive! We have to help!,1
Sokka,"Katara, get back here!  We don't know what that  thing  is!",1
Zuko,"Finally!  Uncle, do you realize what this means?!",1
Iroh, I won't get to finish my game?,1
Zuko, It means my search is about to come to an end.,1
Zuko, It has to be him!,1
Iroh," Please, sit. Why don't you enjoy a cup of calming Jasmine tea?",1
Zuko," I don't need any calming tea! I need to capture the Avatar! Helmsman, head a course for the light!",1
Sokka, Stop!,1
Katara, Stop it!,1
Aang, I need to ask you something ...,1
Katara,What?,1
Aang,Please ... come closer.,1
Katara, What is it?,1
Aang, Will you go penguin sledding with me?,1
Katara," Uh, sure ... I-I guess.",1
Aang, What's going on here?,1
Sokka,,1
Aang, I'm not sure.,1
Aang," Wake up, buddy.",1
Aang," Ha, ha! You're okay!",1
Sokka,What  is  that thing?,1
Aang,"This is Appa, my flying bison.",1
Sokka,,1
Aang, So do you guys live around here?,1
Sokka,  Don't  answer that! Did you see that crazy bolt of light?! He was probably trying to signal the Fire Navy!,1
Katara," The paranoid one is my brother, Sokka. You never told us your name.",1
Aang,I'm A ... a-a-a-Achoo! ,1
Sokka, and flew ten feet in the air!,1
Aang, Really? It felt higher than that.,1
Katara, You're an airbender!,1
Aang,Sure am!,1
Sokka,"Giant light beams, flying bison, airbenders ... ",1
Aang,"Well, if you guys are stuck, Appa and I can give you a lift. ",1
Katara,We'd love a ride! Thanks! ,1
Sokka,Oh no! I'm not getting on that fluffy  snot  monster!,1
Katara," Are you hoping some other kind of monster will come along and give you a ride home? You know, before you  freeze  to death?",1
Aang,"Okay, first time flyers, hold on tight! Appa, yip-yip!",1
Aang,"Come on, Appa. Yip-yip!",1
Sokka," Wow, that was  truly  amazing ...",1
Aang,,1
Katara, Why are you smiling at me like that?,1
Aang,"Oh, I was smiling? ",1
