character,dialog,episode,season
Katara,"Water. Earth. Fire. Air. My grandmother used to tell me stories about the old days: a time of peace when the Avatar kept balance between the Water Tribes, Earth Kingdom, Fire Nation and Air Nomads. But that all changed when the Fire Nation attacked. Only the Avatar mastered all four elements; only he could stop the ruthless firebenders. But when the world needed him most, he vanished. A hundred years have passed, and the Fire Nation is nearing victory in the war. Two years ago, my father and the men of my tribe journeyed to the Earth Kingdom to help fight against the Fire Nation, leaving me and my brother to look after our tribe. Some people believe that the Avatar was never reborn into the Air Nomads and that the cycle is broken, but I haven't lost hope. I still believe that, somehow, the Avatar will return to save the world.",1.0,1.0
Sokka,"It's not getting away from me this time.  Watch and learn, Katara.  This  is how you catch a fish.",1.0,1.0
Katara," Sokka, look!",1.0,1.0
Sokka," Sshh! Katara, you're going to scare it away.  Mmmm ... I can already smell it cookin'.",1.0,1.0
Katara," But, Sokka! I caught one!",1.0,1.0
Katara, Hey!,1.0,1.0
Sokka,"Why is it that every time  you  play with magic water,  I  get soaked?",1.0,1.0
Katara," It's not ""magic"", it's waterbending! And it's ...",1.0,1.0
Sokka," Yeah, yeah, ""an ancient art unique to our culture"", blah, blah, blah. Look, I'm just saying  that if I had weird powers, I'd keep my weirdness to myself.",1.0,1.0
Katara, You're calling  me  weird? I'm not the one who makes muscles at myself every time I see my reflection in the water!,1.0,1.0
Katara,Watch out! Go left! Go left!,1.0,1.0
Katara, You call that  left?,1.0,1.0
Sokka,"You don't like my steering? Well, maybe you should've   waterbended  us out of the ice.",1.0,1.0
Katara, So it's my fault?,1.0,1.0
Sokka, I  knew  I should've left you home!  Leave it to a girl to screw things up!,1.0,1.0
Katara,"You are the most sexist,  immature,  nut brained ...  I'm embarrassed  to be related to you!",1.0,1.0
Katara,"Ever since mom died,   I've  been doing all the work around camp while  you've  been off playing soldier!",1.0,1.0
Sokka, Uh ... Katara ...,1.0,1.0
Katara," I even wash all the clothes! Have you ever smelled your dirty socks? Let me tell you,  not pleasant!",1.0,1.0
Sokka," Katara, settle down!",1.0,1.0
Katara,"No that's it! I'm  done  helping you! From now on, you're  on your own!",1.0,1.0
Sokka,"Okay, you've gone from ""weird"" to ""freakish"",  Katara.",1.0,1.0
Katara, You mean  I  did that?,1.0,1.0
Sokka, Yep.  Congratulations.,1.0,1.0
Katara,He's alive! We have to help!,1.0,1.0
Sokka,"Katara, get back here!  We don't know what that  thing  is!",1.0,1.0
Zuko,"Finally!  Uncle, do you realize what this means?!",1.0,1.0
Iroh, I won't get to finish my game?,1.0,1.0
Zuko, It means my search is about to come to an end.,1.0,1.0
Zuko, That light came from an  incredibly  powerful source!  It has to be him!,1.0,1.0
Iroh," Or it's just the celestial lights. We've been down this road before, Prince Zuko.  I don't want you to get too excited over nothing.  Please, sit. Why don't you enjoy a cup of calming Jasmine tea?",1.0,1.0
Zuko," I don't need any calming tea! I need to capture the Avatar! Helmsman, head a course for the light!",1.0,1.0
Sokka, Stop!,1.0,1.0
Katara, Stop it!,1.0,1.0
Aang, I need to ask you something ...,1.0,1.0
Katara,What?,1.0,1.0
Aang,Please ... come closer.,1.0,1.0
Katara, What is it?,1.0,1.0
Aang, Will you go penguin sledding with me?,1.0,1.0
Katara," Uh, sure ... I-I guess.",1.0,1.0
Aang, What's going on here?,1.0,1.0
Sokka, You tell us!  How did you get in the ice? And why aren't you frozen? ,1.0,1.0
Aang, I'm not sure.,1.0,1.0
Aang," Appa! Are you all right?  Wake up, buddy.",1.0,1.0
Aang," Ha, ha! You're okay!",1.0,1.0
Sokka,What  is  that thing?,1.0,1.0
Aang,"This is Appa, my flying bison.",1.0,1.0
Sokka," Right, and this is Katara, my flying sister. ",1.0,1.0
Aang," Don't worry, it'll wash out.  So do you guys live around here?",1.0,1.0
Sokka,  Don't  answer that! Did you see that crazy bolt of light?! He was probably trying to signal the Fire Navy!,1.0,1.0
Katara," Oh yeah, I'm sure he's a spy for the Fire Navy. You can tell by that  evil  look in his eye.  The paranoid one is my brother, Sokka. You never told us your name.",1.0,1.0
Aang,I'm A ... a-a-a-Achoo!  I'm Aang. ,1.0,1.0
Sokka, You just sneezed ...  and flew ten feet in the air!,1.0,1.0
Aang, Really? It felt higher than that.,1.0,1.0
Katara, You're an airbender!,1.0,1.0
Aang,Sure am!,1.0,1.0
Sokka,"Giant light beams, flying bison, airbenders ...  I think I got midnight sun madness. I'm going home to where stuff makes sense. ",1.0,1.0
Aang,"Well, if you guys are stuck, Appa and I can give you a lift. ",1.0,1.0
Katara,We'd love a ride! Thanks! ,1.0,1.0
Sokka,Oh no! I'm not getting on that fluffy  snot  monster!,1.0,1.0
Katara," Are you hoping some other kind of monster will come along and give you a ride home? You know, before you  freeze  to death?",1.0,1.0
Aang,"Okay, first time flyers, hold on tight! Appa, yip-yip!",1.0,1.0
Aang,"Come on, Appa. Yip-yip!",1.0,1.0
Sokka," Wow, that was  truly  amazing ...",1.0,1.0
Aang, Appa's just a little tired. A little rest and he'll be soaring through the sky. You'll see. ,1.0,1.0
Katara, Why are you smiling at me like that?,1.0,1.0
Aang,"Oh, I was smiling? ",1.0,1.0
Iroh,"I'm going to bed now.  Yep, a man needs his rest.  Prince Zuko, you need some sleep. Even if you're right, and the Avatar is alive, you won't find him. Your father, grandfather and great-grandfather all tried and failed.",1.0,1.0
Zuko,Because their  honor  didn't hinge on the Avatar's capture. Mine  does.  This coward's hundred years in hiding are over.,1.0,1.0
Katara,Hey.,1.0,1.0
Aang,Hey. What'cha thinkin' about?,1.0,1.0
Katara,"I guess I was wondering, your being an airbender and all, if you had any idea what happened to the Avatar?",1.0,1.0
Aang,"Oh, no. I didn't know him. I mean, I knew people that knew him, but I didn't. Sorry. ",1.0,1.0
Katara,Okay. Just curious.  Good night.,1.0,1.0
Aang,Sleep tight.,1.0,1.0
